Timestamp,Study_author,Publication_year,Study_title,DOI,Exclusion_reason,Comment for Exclusion_reason,Study_type,"Comment for study_type
Record comments for the question above if needed (i.e. study type does not lie within the specified categories). Start with ""NEW"" when noting new study type.",Data_collected_years,Data_collected_locations,TARA_focus ,TARA_region,"TARA_region_specific
List the locations where the study was completed in NSW. If multiple locations seperate by with ; ","Threat_source_category_1
Select more than one of applicable.",Threat_source ,Comment for threat_source,"Specific_threat_source 
If detailed specify the actual threat activity. If multiple threat activities are listed seperate terms in a list with ;",Receptor_category-threat_receptor ,Comment for receptor_category-threat_receptor,"Specific_receptor_category-threat_receptor
If detailed list the specific receptor. If there is more than one receptor measured list these as terms separated by ;","Mechanism for receptor threat relationship
If detailed list the mechanism through which the threat has an effect on the receptor (e.g. disease). These should align with the mechanisms outlined in the EBR.","Outcome_trend
Specify the overall outcome of the threat receptor interaction specified. If there is more than one threat receptor combination, or more than one outcome measured please return the main effect here and specify other effects in the free text category below.","Comment_outcome_trend
Comment for outcome trend. If other outcomes need to be specified list outcome (Positive/Negative/Neutral/Other) and seperate by ;","Outcome_measured
If stated specify the outcome measured (from which the trend is specified above). If multiple outcomes are measured please list these as terms (3 words or less) separated by ;","Condition_comparator
If condition of the receptor (i.e. marine asset) is discussed in the article, specify what the condition is compared too. For example this could be a year, or a treatment condition. ","Condition_trend
If the condition of the asset is discussed specify the outcome of the asset compared to the comparator. ","Comment_condition_trend
Comment for condition trend. If other conditions need to be specified list outcome (Positive/Negative/Neutral/Other) and seperate by ;","Condition_measured
If stated specify the parameter through which condition is measured (from which the trend is specified above). If multiple condition are measured please list these as terms (3 words or less) separated by ;",Comment for extraction
8/24/2022 15:13:53,Hague,2020,"Sea Level Rise Driving Increasingly Predictable Coastal Inundation in Sydney, Australia",10.1029/2020EF001607,NA - study included for data extraction,,"Primary-field, Modelling/theoretical",,Pre 2015,NSW,1 - Coastal and marine,2 - Central,Sydney,Climate change,41 - Sea level rise 20 years; 46 - Sea level rise 50 years,,Coastal inundation,2 - Marine habitats and assemblages - Beaches; 13 - Estuarine habitats and assemblages - Beach and mudflats,,Land immediately adjacent to water ,Inundation; erosion,Negative,,Inundation days,,,,,Frequencies of minor coastal inundation have increased from 1.6 to 7.8 days per year between 1914 and present day. 80% of the observed coastal inundation events between 1970 and 2015 to the predominantly anthropogenic increases in global mean sea level. Impact‐producing coastal inundation will occur weekly by 2050 under high‐ and medium‐emission/SLR scenarios and daily by 2100 under high emissions.
8/24/2022 15:25:29,Hammerton,2015,Levels of intervention – reducing SCUBA-diver impact within subtropical marine protected areas,10.1080/14724049.2015.1073738,Full text not in English,,Primary-field,,Pre 2015,NSW,1 - Coastal and marine,1 - North,Byron; Solitary Islands,Resource use,54 - Snorkelling and diving and other rec use,,Scuba diving,3 - Marine habitats and assemblages - Deep reefs; 8 - Marine habitats and assemblages - Shallow reefs,,"Various benthic marine taxa (e.g. corals, sponges, ascidians)",Contact with marine life divers fins,,,,,,,,"Uncontrolled fin contact frequently resulted in breaks or abrasions to hard corals, sponges, ascidians, and the dislodgement of other invertebrates. "
8/24/2022 15:27:43,Gordon,2021,Unintentional Tipping of Waterway Channels into Long-Term Scour Modes,10.1061/(ASCE)WW.1943-5460.0000652,No full-text available,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2022 15:33:44,Grainger,2020,Diet Composition and Nutritional Niche Breadth Variability in Juvenile White Sharks (Carcharodon carcharias),10.3389/fmars.2020.00422,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2022 15:44:09,Go,2017,"Mass mortalities of unknown aetiology in Pacific oysters Crassostrea gigas in Port Stephens, New South Wales, Australia",10.3354/dao03146,NA - study included for data extraction,,Primary-field & lab,,Pre 2015,NSW,2 - Estuarine,1 - North,Port Stephens,Climate change,38 - Climate and sea temperature rise 20 years; 43 - Climate and sea temperature rise 50 years; 74 - Climate change stressors 20 years; 85 - Climate change stressors 50 years,,,17 - Estuarine habitats and assemblages - Rocky shores; 21 - Estuarine habitats and assemblages - Subtidal reefs,,"Pacific Oyster, Crassostrea gigas",Disease causing mortality ,Negative,,,,,,,"Farmed, invasive oyster species. Between January 2013 and January 2014, moderate to severe mortalities were frequently reported in cultivated C. gigas populations in the Port Stephens estuary. In some instances, 100% loss of stock was observed. Mortality events coincided with drops in salinity associated with rainfall events. Also links to warming."
8/24/2022 15:57:39,Glaspie,2017,Multiple stressors associated with acid sulfate soil effluent influence mud crab Scylla serrata predation on Sydney rock oysters Saccostrea glomerata,10.1071/MF15350,NA - study included for data extraction,,Primary-field & lab,,Pre 2015,NSW,2 - Estuarine,1 - North,Hastings Estuary,Land based activities,32 - Agricultural diffuse source runoff; 29 - Foreshore development; 33 - Industrial discharges,,Acid sulfate soils,10 - Threatened and protected species - Species and communities protected under FMA; 14 - Estuarine habitats and assemblages - Fish assemblages; 15 - Estuarine habitats and assemblages - Mangroves; 21 - Estuarine habitats and assemblages - Subtidal reefs,,"Sydney rock oysters, Saccostrea glomerata; Mud crabs, Scylla serrata",Acidification impacts shell integrity; trophic relationships,Neutral (no effect),,Mortality of oysters by mud crabs; handling times; oyster size,,,,,"Crabs foraged less on oysters from sites close to than away from the flood gate (i.e. higher impact from acid sulfate soils). This could be because these oysters have a lower nutritional value. Could result in unpredictable changes in coastal marine food webs. Stressor induced changes in food web structure, driven by altered prey quality or predator behaviour, may sever the connection between the benthos and upper trophic levels."
8/24/2022 16:13:25,Glaspie,2018,"Effects of Estuarine Acidification on an OysterAssociated Community in New South Wales, Australia",10.2983/035.037.0105,NA - study included for data extraction,,Primary-field,,,NSW,2 - Estuarine,1 - North,Hastings Estuary,Land based activities,32 - Agricultural diffuse source runoff; 29 - Foreshore development; 33 - Industrial discharges,,Acid sulfate soils,11 - Threatened and protected species - Species protected under BCA; 15 - Estuarine habitats and assemblages - Mangroves; 17 - Estuarine habitats and assemblages - Rocky shores; 21 - Estuarine habitats and assemblages - Subtidal reefs,,"Sydney rock oysters, Saccostrea glomerata",,Negative,Neutral,Epifaunal diversity; Oyster mortality,,,,,"Sydney rock oyster appeared well adapted to naturally occurring acidification events and little mortality was evident, when oyster mortality did occur, epifaunal community composition changed. Oyster mortality did not change significantly with episodic or chronic acidification, demonstrating the capacity of S. glomerata to withstand environmental change"
8/24/2022 16:31:46,Glasby,2015,"Range and habitat associations of the native macroalga Caulerpa filiformis in New South Wales, Australia",10.1071/MF14282,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,1 - Coastal and marine,"1 - North, 2 - Central, 3 - South",,,,,,8 - Marine habitats and assemblages - Shallow reefs; 9 - Marine habitats and assemblages - Shallow soft sediments,,Caulerpa fuliformis,,,,,,Other/Unclear/Not specified,,Abundance,"Establish geographical range of C. filiformis in NSW (and therefore Australia) is ,800 km from Hastings Point to Jervis Bay. There were trends for increases over time at some subtidal sites (in Sydney and north to Seal Rocks) whereas there were no trends for increases or decreases over 5 years at subtidal sites south of Sydney or at any intertidal sites. No positive association between abundance of C. filiformis and human population or nearshore oceanic Chl-a (average over the last 12 years) at spatial scales of a few kilometres."
8/24/2022 16:45:52,Glasby,2017,Dragging the chain: Quantifying continued losses of seagrasses from boat moorings,10.1002/aqc.2872,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,2 - Estuarine,"1 - North, 2 - Central",Port Stephens; Lake Macquarie,Resource use,19 - Boating and boating infrastructure,,Block and chain swing moorings,10 - Threatened and protected species - Species and communities protected under FMA; 19 - Estuarine habitats and assemblages - Seagrass,,"Sea grass, Posidonia australis; Sea grass, Zostera muelleri",Physical removal; habitat disturbance,Negative,Seagrass extent; mooring scars,,,,,,"Mooring scar area was greater in meadows dominated by P. australis (55–706 m2) than in meadows dominated by Z. capriconi (22–578 m2), and scars increased with water depth and boat size. Scar size was also positively correlated with the age of the swing mooring.Estimate that the total loss of seagrass (relative to recently mapped areal estimates) caused by currently leased moorings was 223 823 m2 across NSW. The endangered P. australis accounted for 129 884 m2 of the state‐wide loss."
8/24/2022 17:04:10,Glasby,2020,Decadal dynamics of subtidal barrens habitat,10.1016/j.marenvres.2019.104869,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,1 - Coastal and marine,"2 - Central, 3 - South",Various (21 rocky reef sites along NSW coast),,,,,8 - Marine habitats and assemblages - Shallow reefs,,Macroalgae,,,,,2010 surveys,Other/Unclear/Not specified,,Urchin barrens,"At spatial scales of ~10 ha and temporal scales of multiple decades, barrens in NSW show no signs of diminishing in cover. Instead, barrens are either relatively stable, or gradually increasing at the expense of macroalgae.. There was a trend for the percentage cover of barrens in the southern region (40.2 %) to be greater than in the Illawarra (31.3 %) and Sydney (29.0 %) regions. Increases in barrens ranged from 5 to 15% at six sites, while there were increases of 20–35% cover at three sites, the greatest being at North Harbour in Sydney. This increase in barrens corresponded to an equivalent decline in macroalgal cover.
The rate of increase in barrens at Manly during the 1960s–1980s was 1.5x greater than over the last 30 years, and the increase of barrens was due to losses of macroalgae. "
8/24/2022 17:17:39,Gibbs,2019,"Effects and effectiveness of lethal shark hazard management: The Shark Meshing (Bather Protection) Program, NSW, Australia",10.1002/pan3.10063,NA - study included for data extraction,,"Primary-field, Review of the literature",,Pre and Post 2015,NSW,"1 - Coastal and marine, 3 - Social",,,Resource use,23 - Shark meshing of swimming beaches; 79 - Wildlife interactions,,Shark Meshing Program,5 - Marine habitats and assemblages - Fish assemblages; 10 - Threatened and protected species - Species and communities protected under FMA; 11 - Threatened and protected species - Species protected under BCA,,"White Shark, Carcharodon carcharias; Tiger shark, Galeocerdo cuvier; Bull shark, Carcharhinus leucas",Catch sharks,Other/Unclear/Not specified,Catch numbers; shark bites,,1950s,Negative,,Catch numbers; shark bites,"Numbers of animals caught in the nets of the SMP, including target species and bycatch, have varied greatly year-to-year. Our analysis shows long-term decline in total shark catch and catch of three key target species and genus – white shark, tiger shark and whaler species – to 2017. Declines in catch suggest reduced abundance in the region of the SMP. This may indicate the Program has contributed to population decline, given sustained fishing effort, and/or it may reflect broader trends in abundance observed globally."
8/24/2022 17:20:48,Gabric,2016,Tasman Sea biological response to dust storm events during the austral spring of 2009,10.1071/MF14321,The study does not consider a threat to or a state of a marine asset in NSW,Study presents data only before 2010,,,,,,,,,,,,,,,,,,,,,,,
8/25/2022 8:52:21,French,2018,Motivation and harvesting behaviour of fishers in a specialized fishery targeting a top predator species at risk,10.1002/pan3.9,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2022 9:13:34,Fowles,2017,Effects of urbanisation on macroalgae and sessile invertebrates in southeast Australian estuaries,10.1016/j.ecss.2018.02.010,NA - study included for data extraction,,Primary-field,,Pre 2015,Australia,2 - Estuarine,2 - Central,Sydney,"Resource use, Land based activities",19 - Boating and boating infrastructure; 33 - Industrial discharges; 73 - Sediment contamination; 28 - Urban stormwater discharge,,Various associated with harbour,14 - Estuarine habitats and assemblages - Fish assemblages; 21 - Estuarine habitats and assemblages - Subtidal reefs,,"Benthic communities (Kelp, other algae, invertebrates)",Pollution,Other/Unclear/Not specified,,Percent cover benthic functional groups,,,,,"Foliose algae, Laminariales(kelp), sessile invertebrates and filamentous algae were negatively correlated with distance to port (i.e. they increased in cover towards the more impacted areas). Assemblages in the middle estuary predominantly comprised articulated coralline algae, which are late-successional and predation-tolerant species. High abundance of sea urchin Centrostephanus rodgersii. Biotic interactions are apparently at least as important as localised pollution in shaping the benthic community in this region."
8/25/2022 9:29:19,Fowler,2018,New poleward observations of 30 tropical reef fishes in temperate southeastern Australia,10.1007/s12526-017-0748-6,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,1 - Coastal and marine,"1 - North, 2 - Central, 3 - South",Red Rocks; Nambucca; South West Rocks; Port Stephens; Sydney; Jervis Bay; Narooma; Merimbula,Climate change,38 - Climate and sea temperature rise 20 years,,Warming,5 - Marine habitats and assemblages - Fish assemblages; 8 - Marine habitats and assemblages - Shallow reefs; 6 - Marine habitats and assemblages - Planktonic assemblages,,Various fish species,Range expansion,Other/Unclear/Not specified,,,,,,,"Long-term (16-year) monitoring program to report new poleward observations of the juvenile stages of 30 tropical reef fishes expatriating to temperate southeastern Australia. Expatriated juveniles (vagrants) from 10 families and 20 genera were observed for the first time on rocky reefs in southern New South Wales, between 57 and 801 km poleward of their previously recorded locations. Tropical herbivores comprised 20% of vagrant species, with four species (Acanthurus dussumieri, A. lineatus, A. nigrofuscus, A. olivaceus) recognised as grazers of epilithic algae and one species (Naso unicornis) known to feed selectively on macroalgae. Progressive warming is increasing overwinter survival and will likely allow the establishment of adult populations of tropical species over coming decades."
8/25/2022 19:11:32,Ferretto,2022,Floating bags have the potential to minimise oyster farming impacts on Posidonia australis seagrass meadows,10.1016/j.aquaculture.2022.738594,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,2 - Estuarine,1 - North,Port Stephens,Resource use,51 - Oyster aquaculture,,Different aquaculture methods tested,19 - Estuarine habitats and assemblages - Seagrass,,"Seagrass, Posidonia australia",Shading ,Negative,,Photosynthetic efficiency; leaf length; shoot density;,,,,,"Common cultivation methods (trays and longline baskets) had negative impacts on photosynthetic activity, leaf length and shoot density of the seagrass directly beneath them, likely related to decreased light availability and in the case of trays to increased sedimentation. However, the use of floating bags had no significant effects on the seagrass, presumably because the shading footprint of the bag infrastructure was far less than that of the other cultivation methods. 4-fold decline in shoot density under the trays and baskets after only three months suggests that the impacts are beyond the footprint size. Light was reduced under the trays at all times of day (by up to 91%)."
8/26/2022 9:46:26,Ferguson,2016,"Herbivore abundance, site fidelity and grazing rates on temperate reefs inside and outside marine reserves",10.1016/j.jembe.2016.02.008,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,1 - Coastal and marine,3 - South,Jervis Bay ,Resource use,11 - Boat-based line and trap fishing; 9 - Line fishing,,,5 - Marine habitats and assemblages - Fish assemblages,,"Luderick, Girella tricuspidata; Rock blackfish,Girella elevata; Silver drummer, Kyphosus sydneyanus ",Mortality (kept fish),Other/Unclear/Not specified,,,MPAs (take and no take),Positive,,Size; Abundance; Grazing rates; Movement patterns,"G. tricuspidata was significantly larger and more abundant within marine reserves. Rockblackfish G. elevata was significantly more abundant in one of four marine reserves, although overall there was no difference between reserves and fished areas, and K. sydneyanus was significantly larger within reserves, although not significantly more abundant. On average, grazing rates were higher inside marine reserves, although not significantly higher."
8/26/2022 9:58:31,Farrell,2015,Warm temperature acclimation impacts metabolism of paralytic shellfish toxins from Alexandrium minutum in commercial oysters,10.1111/gcb.12952,NA - study included for data extraction,,Primary-lab,,Pre 2015,NSW,1 - Coastal and marine,,,Climate change,38 - Climate and sea temperature rise 20 years; 43 - Climate and sea temperature rise 50 years,,"Harmful Algal Blooms (HABs), Alexandrium",17 - Estuarine habitats and assemblages - Rocky shores; 21 - Estuarine habitats and assemblages - Subtidal reefs,,"Pacific Oysters, Crassostrea gigas; Sydney rock oyster, Saccostrea glomerata",Paralytic shellfish toxin (PSTs),Neutral (no effect),,Metabolism; Toxin levels,,,,,"Toxin levels were significantly lower in warm-acclimated S. glomerata and diploid C. gigas after 12 days.Generally, detoxification rates were reduced in warm-acclimated oysters. Rising ocean temperatures may reduce paralytic shellfish toxin accumulation in two of the three oyster types; however, they may persist for longer periods in oyster tissue"
8/26/2022 10:02:57,Farrell,2017,Management of Ciguatoxin Risk in Eastern Australia,10.3390/toxins9110367,The study does not consider a threat to or a state of a marine asset in NSW,,,,,NSW,,,,,,,,,,,,,,,,,,,
8/26/2022 10:13:50,Farrell,2018,"An Assessment of Potential Heavy Metal Contaminants in Bivalve Shellfish from Aquaculture Zones along the Coast of New South Wales, Australia",,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,2 - Estuarine,"1 - North, 2 - Central, 3 - South",Various (31 estuaries),Land based activities,81 - Other water pollution/contamination,,Various water pollution,17 - Estuarine habitats and assemblages - Rocky shores; 21 - Estuarine habitats and assemblages - Subtidal reefs,,"Sydney rock oysters, Saccostrea glomerata; Pacific oysters, Crassostrea gigas; Blue mussels, Mytilus edulis; Cockles, Anadara trapezia and Katelysia spp.",Heavy metal contamination,,,,Location and years,Other/Unclear/Not specified,,"Screened for Cd, Cu, Pb, Hg, Se and Zn.","The concentrations of heavy metals in shellfish farmed along the NSW coast were generally low. All samples tested in the current study were found to be compliant with the FSC, with maximum concentrations of inorganic As, Cd, Pb and Hg being less than the MLs specified for bivalve molluscs."
8/26/2022 10:27:34,Evans,2018,Seagrass on the brink: Decline of threatened seagrass Posidonia australis continues following protection,10.1371/journal.pone.0190370,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,2 - Estuarine,2 - Central,Lake Macquarie; Pittwater; Sydney Harbour; Botany Bay; Port Hacking,Resource use,19 - Boating and boating infrastructure,,Boat moorings,10 - Threatened and protected species - Species and communities protected under FMA; 11 - Threatened and protected species - Species protected under BCA; 19 - Estuarine habitats and assemblages - Seagrass,,"Sea grass, Posidonia australis",,Negative,,Seagrass area,,Negative,,Seagrass area,"Seagrass meadows showed declines of~2–40% total area at 11 out of 14 study sites between 2009 and 2014. In Sydney Harbour analyses suggest that P. australis meadows are declining at an average rate greater than 10% yr-1, exceeding the global rate of seagrass decline. While declines were observed in all five estuaries, there were three sites that experienced slight increases in meadow area over five years. Meadow expansions of 0.2 ha in Botany Bay (Kurnell East and Kurnell West) and 0.4 ha in Pittwater (Barren joey Head). The apparent meadow expansion at Barren joey Head in Pittwater was estimated at approximately 0.5% growth (0.08 ha) per year. May be a result of relatively few boat moorings in this location."
8/26/2022 10:31:09,Espinoza,2015,Evidence of Partial Migration in a Large Coastal Predator: Opportunistic Foraging and Reproduction as Key Drivers?,10.1371/journal.pone.0147608,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/26/2022 10:43:42,Davis,2018,"Application of non-destructive methods for assessing rock pool fish assemblages on Lord Howe Island, Australia",10.1016/j.rsma.2018.09.002,NA - study included for data extraction,,Primary-field,,Other/Unclear/NotApplicable,NSW,1 - Coastal and marine,,Lord Howe Island,,,,,5 - Marine habitats and assemblages - Fish assemblages,,Fish (various),,,,,Rockpools (sizes),,,Species richness,"Examination of fish species diversity from the replicate samples collected in pools on LHI (64 species in 24 pools), identified that fishes in pools are relatively diverse. Species richness found to be similar to that measured, using the same methods, at the same latitude on the neighbouring NSW coastline. The composition of the fish assemblages on LHI was, however, found to be significantly different from that occurring on the NSW coast. Pools on LHI were found to provide refuges for juveniles of a number of endemic, threatened and fishery-targeted species, supporting previous studies that have indicated that rock pools play an important role as safe havens for juvenile fishes"
8/26/2022 10:55:06,Davis,2018,Responses of Dendronephthya australis to predation by Dermatobranchus sp. nudibranchs,10.1071/MF17040,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,2 - Estuarine,1 - North,Port Stephens,Land based activities,0 - Other/Unclear/NEW,"Various (anchor damage, sand inundation and recreational fishing)",Dermatobranchus (predatory nudibranch),10 - Threatened and protected species - Species and communities protected under FMA; 20 - Estuarine habitats and assemblages - Shallow soft sediments,,"Soft coral, Dendronephthya australis",Predation,Negative,,Extension; Extended polyps,,,,,"This indicated that the abundance of Dermatobranchus sp. has a negative impact on polyp expansion and, hence, on the ability of D. australis to feed. The presence of Dermatobranchus sp. will, therefore, negatively affect colonies, with reduced feeding leading to loss of biomass in soft corals. Colonies with high abundances of Dermatobranchus sp. were generally found in areas of sandy unconsolidated substrate. As a consequence, colonies suffering the negative impacts from Dermatobranchus sp. were also often exposed to additional stress from sand movement. Predation may interact with anthropogenic effects to increase mortality risk."
8/26/2022 11:15:31,Davis,2016,Using modelling to predict impacts of sea level rise and increased turbidity on seagrass distributions in estuarine embayments,10.1016/j.ecss.2016.09.005,NA - study included for data extraction,,Modelling/theoretical,,Other/Unclear/NotApplicable,NSW,2 - Estuarine,"1 - North, 2 - Central, 3 - South",Port Stephens; Wallis Lake; Lake Illawara; Merimbula Lake; Pambula Lake,Climate change,41 - Sea level rise 20 years; 46 - Sea level rise 50 years,,Sea level rise,10 - Threatened and protected species - Species and communities protected under FMA; 11 - Threatened and protected species - Species protected under BCA; 19 - Estuarine habitats and assemblages - Seagrass,,Posidonia australis; Zostera muelleri,Loss of habitat at depth (light availability),Other/Unclear/Not specified,,Suitable habitat,,,,,"Under the predictions of RES models, both sea level rise and increased turbidity are predicted to cause substantial seagrass losses in deeper estuarine areas, resulting in a net shoreward movement of seagrass beds. Losses will be aggravated where shoreline defences are installed to prevent coastal erosion and these defences inhibit the shoreward migration of seagrass beds"
8/26/2022 11:22:05,Davis,2020,Calcification and organic productivity at the world's southernmost coral reef,10.1016/j.marchem.2020.103870,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,1 - Coastal and marine,,Lord Howe Island,Climate change,"40 - Altered storm / cyclone activity (including flooding storm surge, inundation) 20 years; 38 - Climate and sea temperature rise 20 years",,Warming waters and cyclone activity,8 - Marine habitats and assemblages - Shallow reefs,,Hard coral,Bleaching and destruction,Negative,,Cover,,,,,"leaching event and cyclone occurred during summer sampling (February – March 2019), resulting in 47% of corals bleached at the study site and 2% mortality due to cyclonal damage. 2019 marked the third extensive coral bleaching event recorded at LHI."
8/26/2022 16:00:18,Cooke,2019,Backshore nourishment of a beach degraded by off-road vehicles: Ecological impacts and benefits,10.1016/j.scitotenv.2020.138115,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,1 - Coastal and marine,2 - Central,Blacksmiths Beach,Land based activities,30 - Beach nourishment and grooming; 22 - Four wheel driving,,Nourishment and off road vehicle,2 - Marine habitats and assemblages - Beaches,,Ecological communities,"Disturbance (suffocation, crushing, resource limitation)",Neutral (no effect),After 2 years,"Vegetation, invertebrate communities compared to reference and control sites",,,,,"Nourishment initially had large negative impacts on vegetation cover, as well as on invertebrate abundance and richness. Recovery to a pre-nourished state was observed for vegetation cover after 9 months and invertebrate communities after 21 months. 21 months post-nourishment and ORV exclusion, there was no evidence of change in the nourished site towards the state of Reference sites. Study suggests that small-scale backshore sand nourishments of ocean beaches may have only short-term negative impacts on foredune ecosystems when accompanied with some replanting. Nevertheless, where the frequency of sand disposals is greater than the required recovery time, or cumulative effects amass, longer-term or sustained impacts may occur. "
8/26/2022 16:14:20,Critchley,2019,Differences in Soft-Sediment Infaunal Communities Between Shorelines with and Without Seawalls,10.1007/s12237-019-00527-z,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,2 - Estuarine,2 - Central,Brisbane Waters,,0 - Other/Unclear/NEW,NEW_Seawall,Seawalls,17 - Estuarine habitats and assemblages - Rocky shores; 20 - Estuarine habitats and assemblages - Shallow soft sediments; 21 - Estuarine habitats and assemblages - Subtidal reefs,,Infaunal community (invertebrates),"Various (sediment, shading)",Other/Unclear/Not specified,Dependent on environment (sand or mud),Abundance,,,,,"Key predictor of how infaunal communities differed between sites with and without seawalls appeared to be whether the location had muddy or sandy sediments. The pattern displayed by infaunal abundance at muddy locations was consistent with previous studies, which have generally found reduced abundances and richness of infauna at armoured than unarmoured sites. At the sandy locations, which were low in sediment organic content, positive effects of seawalls on abundance and richness may instead result from seawalls enhancing organic subsidies to sediments through their provision of a substrate for algal growth."
8/26/2022 16:29:08,Colefax,2015,Effect of angling intensity on feeding behaviour and community structure of subtropical reef‑associated fishes,10.1007/s00227-016-2857-3,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,1 - Coastal and marine,1 - North,Ballina,Resource use,11 - Boat-based line and trap fishing; 9 - Line fishing,,Baited hooks,5 - Marine habitats and assemblages - Fish assemblages,,Fish (various),Change in behaviour,Other/Unclear/Not specified,,Feeding behaviour; Community structure ,,,,,"Selective pressure on reef fish communities is more complex than simply the physical removal of target species, and in turn affecting community composition. Bait introduction differentially influenced trophic interactions of reef-associated communities according to angling intensity regime. Locations with higher angling pressure correlated with increased feeding hesitation among potentially capture-susceptible species, most notably Acanthopagrus australis. The feeding hierarchy of less dominant feeders and their interactions also differed compared with those exhibited under lower angling intensity regimes."
8/26/2022 16:40:51,Cole,2017,"Predicting biodiversity changes due to loss of bioengineers from an intertidal landscape, a case study from Sydney Harbour",,NA - study included for data extraction,,Primary-field,,Other/Unclear/NotApplicable,NSW,2 - Estuarine,2 - Central,Sydney,,,,,17 - Estuarine habitats and assemblages - Rocky shores,,"Tubeworm, Galeolaria caespitosa; Sydney rock oyster, Saccostrea glomerate; Turfting red alga, Corallina officinalis",,,,,,Other/Unclear/Not specified,,Cover of habitats and associated communities,"All habitats co–occurred on the mid–low shore, generally either directly adjacent or only centimetres to tens of centimetres away from each other. Study indicates that there are a number of common species and individuals may move among the different habitats. Furthermore, there were distinct patterns of abundance of different feeding guilds of polychaetes among the different habitats. Anthropogenic activities will transform landscapes resulting in a loss of species. The loss of a single bioengineer would not just have consequences for unique species that inhabit it, but there will also be overall landscape consequences."
8/26/2022 16:53:27,Champion,2021,Climate change alters the temporal persistence of coastal-pelagic fishes off eastern Australia,10.1093/icesjms/fsac025,NA - study included for data extraction,,"Primary-field, Modelling/theoretical",,Pre and Post 2015,Australia,"1 - Coastal and marine, 3 - Social, 5 - Economic","1 - North, 2 - Central, 3 - South",,Climate change,38 - Climate and sea temperature rise 20 years; 43 - Climate and sea temperature rise 50 years,,Warming,5 - Marine habitats and assemblages - Fish assemblages,,"Bonito, Sarda australis; Spotted mackerel, Scomberomorus munroi;  Spanish mackerel, Scomberomorus commerson; Dolphinfish, Coryphaena hippurus",Change in suitable habitat,Other/Unclear/Not specified,,Modelling future distributions,,,,,"Results indicate a latitudinal trend in projected changes to the temporal persistence of species suitable habitats that is consistent with the poleward direction of range shifts under climate change. For the suite of species assessed, a reduction in temporal habitat persistence (i.e. fishing opportunity) was evident in the most equatorward bioregion corresponding with the warm edge of species distributions, while positive increases were evident within poleward bioregions encompassing the cool range edge (Batemans) of species distributions.The greatest increases in temporal habitat persistence were projected for bonito in the Batemans Shelf bioregion and Spanish mackerel in the Hawkesbury Shelf bioregion."
8/26/2022 17:03:23,Castro,2019,Combined mechanistic modelling predicts changes in species distribution and increased co-occurrence of a tropical urchin herbivore and a habitat-forming temperate kelp,10.1111/ddi.13073,NA - study included for data extraction,,Modelling/theoretical,,Pre and Post 2015,Australia,1 - Coastal and marine,"1 - North, 2 - Central, 3 - South",,Climate change,38 - Climate and sea temperature rise 20 years; 43 - Climate and sea temperature rise 50 years,,Warming,8 - Marine habitats and assemblages - Shallow reefs; 6 - Marine habitats and assemblages - Planktonic assemblages,,"Kelp, Ecklonia radiata; Sea urchin, Tripneustes gratilla ","Changes in spawning, settlement and habitat overlap between urchin and kelp",Other/Unclear/Not specified,,,,,,,"Overall predict that Ecklonia's range will contract poleward substantially due to warming; additionally, find that climate-driven changes in the oceanic environment shift the spawning and settlement range of Tripneustes, causing its poleward expansion, and an increased area of interaction between this herbivore and Ecklonia. Novel regions of co-occurrence between a temperate Ecklonia and tropical Tripneustes species which may lead to greater loss of kelp. Particularly at the equatorward range edge of Ecklonia's future distribution temperatures will become more suitable for year-round spawning of Tripneustes and settlement densities are expected to increase leading to larger adult populations and increase grazing of Ecklonia."
